"=""ID""",Name,"Sent Time","UT measurement (mm)","Temperature (°C)",PSI,"Apply Temperature Compensation Flag"
"=""#00096""","=""P100254-1""","2017-05-16 06:24:14",6.298,283.06,,1
"=""#00096""","=""P100254-1""","2017-05-16 18:29:47",6.296,283.62,,1
"=""#00096""","=""P100254-1""","2017-05-17 06:32:58",6.3,284.41,,1
"=""#00096""","=""P100254-1""","2017-05-17 18:36:07",6.303,284.28,,1
"=""#00096""","=""P100254-1""","2017-05-18 06:39:23",6.301,284.66,,1
"=""#00096""","=""P100254-1""","2017-05-18 18:42:32",6.302,284.44,,1
"=""#00096""","=""P100254-1""","2017-05-19 06:45:46",6.299,284.35,,1
"=""#00096""","=""P100254-1""","2017-05-19 18:49:38",6.301,283.75,,1
"=""#00096""","=""P100254-1""","2017-05-20 06:52:46",6.298,284.06,,1
"=""#00096""","=""P100254-1""","2017-05-20 18:55:45",6.3,286.59,,1
"=""#00096""","=""P100254-1""","2017-05-21 06:58:52",6.299,287.56,,1
"=""#00096""","=""P100254-1""","2017-05-21 19:01:58",6.3,286.66,,1
"=""#00096""","=""P100254-1""","2017-05-22 07:04:57",6.3,286.94,,1
"=""#00096""","=""P100254-1""","2017-05-22 19:08:26",6.301,287.06,,1
"=""#00096""","=""P100254-1""","2017-05-23 07:11:42",6.306,285.94,,1
"=""#00096""","=""P100254-1""","2017-05-23 19:15:09",6.303,286.66,,1
"=""#00096""","=""P100254-1""","2017-05-24 07:18:17",6.301,288.53,,1
"=""#00096""","=""P100254-1""","2017-05-24 19:21:34",6.306,287.88,,1
"=""#00096""","=""P100254-1""","2017-05-25 07:24:36",6.303,292.35,,1
"=""#00096""","=""P100254-1""","2017-05-25 19:28:20",6.308,290,,1
"=""#00096""","=""P100254-1""","2017-05-26 07:38:21",6.303,291.53,,1
"=""#00096""","=""P100254-1""","2017-05-26 19:42:51",6.303,288.71,,1
"=""#00096""","=""P100254-1""","2017-05-27 07:46:42",6.301,290.06,,1
"=""#00096""","=""P100254-1""","2017-05-27 19:49:55",6.303,287.72,,1
"=""#00096""","=""P100254-1""","2017-05-28 07:53:45",6.298,283.6,,1
"=""#00096""","=""P100254-1""","2017-05-28 19:57:19",6.301,283.09,,1
"=""#00096""","=""P100254-1""","2017-05-29 08:01:02",6.299,283.94,,1
"=""#00096""","=""P100254-1""","2017-05-29 20:03:58",6.299,281.19,,1
"=""#00096""","=""P100254-1""","2017-05-30 08:08:03",6.302,281.16,,1
"=""#00096""","=""P100254-1""","2017-05-30 20:11:40",6.305,288.75,,1
"=""#00096""","=""P100254-1""","2017-05-31 08:15:33",6.305,290.82,,1
"=""#00096""","=""P100254-1""","2017-05-31 20:19:01",6.299,291.03,,1
"=""#00096""","=""P100254-1""","2017-06-01 08:22:36",6.301,290.97,,1
"=""#00096""","=""P100254-1""","2017-06-01 20:27:47",6.296,287.25,,1
"=""#00096""","=""P100254-1""","2017-06-02 08:31:58",6.299,285.37,,1
"=""#00096""","=""P100254-1""","2017-06-02 20:36:33",6.298,285.91,,1
"=""#00096""","=""P100254-1""","2017-06-03 08:41:22",6.299,285.37,,1
"=""#00096""","=""P100254-1""","2017-06-03 20:45:30",6.298,285.63,,1
"=""#00096""","=""P100254-1""","2017-06-04 08:49:27",6.296,285.28,,1
"=""#00096""","=""P100254-1""","2017-06-04 20:53:33",6.294,285.94,,1
"=""#00096""","=""P100254-1""","2017-06-05 09:23:02",6.294,285.63,,1
"=""#00096""","=""P100254-1""","2017-06-05 21:41:01",6.298,294.94,,1
"=""#00096""","=""P100254-1""","2017-06-06 09:45:04",6.295,292.56,,1
"=""#00096""","=""P100254-1""","2017-06-06 21:49:15",6.296,292.47,,1
"=""#00096""","=""P100254-1""","2017-06-07 09:53:50",6.298,291.44,,1
"=""#00096""","=""P100254-1""","2017-06-07 21:57:15",6.296,288.69,,1
"=""#00096""","=""P100254-1""","2017-06-08 10:02:26",6.298,287.18,,1
"=""#00096""","=""P100254-1""","2017-06-08 22:08:11",6.294,286.73,,1
"=""#00096""","=""P100254-1""","2017-06-09 10:12:52",6.294,287.56,,1
"=""#00096""","=""P100254-1""","2017-06-09 22:17:43",6.296,287.47,,1
"=""#00096""","=""P100254-1""","2017-06-10 10:22:24",6.301,288.16,,1
"=""#00096""","=""P100254-1""","2017-06-10 22:26:58",6.296,287.81,,1
"=""#00096""","=""P100254-1""","2017-06-11 10:31:18",6.297,287.31,,1
"=""#00096""","=""P100254-1""","2017-06-11 22:36:06",6.297,291.63,,1
"=""#00096""","=""P100254-1""","2017-06-12 10:40:12",6.296,291.94,,1
"=""#00096""","=""P100254-1""","2017-06-12 22:46:45",6.294,290,,1
"=""#00096""","=""P100254-1""","2017-06-13 10:51:42",6.299,289.72,,1
"=""#00096""","=""P100254-1""","2017-06-13 22:58:58",6.298,290.72,,1
"=""#00096""","=""P100254-1""","2017-06-14 11:06:01",6.294,291.34,,1
"=""#00096""","=""P100254-1""","2017-06-14 23:10:14",6.293,285.28,,1
"=""#00096""","=""P100254-1""","2017-06-15 11:14:57",6.295,284.47,,1
"=""#00096""","=""P100254-1""","2017-06-15 23:19:43",6.293,284.06,,1
"=""#00096""","=""P100254-1""","2017-06-16 11:23:26",6.296,284.44,,1
"=""#00096""","=""P100254-1""","2017-06-16 23:28:25",6.293,284.44,,1
"=""#00096""","=""P100254-1""","2017-06-17 11:34:52",6.293,282.59,,1
"=""#00096""","=""P100254-1""","2017-06-17 23:38:43",6.294,282.5,,1
"=""#00096""","=""P100254-1""","2017-06-18 11:42:40",6.296,282.87,,1
"=""#00096""","=""P100254-1""","2017-06-18 23:46:34",6.296,283.5,,1
"=""#00096""","=""P100254-1""","2017-06-19 11:52:00",6.296,283.5,,1
"=""#00096""","=""P100254-1""","2017-06-19 23:57:19",6.297,283.5,,1
"=""#00096""","=""P100254-1""","2017-06-20 12:01:27",6.294,283.5,,1
"=""#00096""","=""P100254-1""","2017-06-21 00:04:25",6.292,283.31,,1
"=""#00096""","=""P100254-1""","2017-06-21 12:10:18",6.294,283.19,,1
"=""#00096""","=""P100254-1""","2017-06-22 00:13:42",6.294,287.19,,1
"=""#00096""","=""P100254-1""","2017-06-22 12:16:27",6.298,290.28,,1
"=""#00096""","=""P100254-1""","2017-06-23 00:19:44",6.301,290.28,,1
"=""#00096""","=""P100254-1""","2017-06-23 12:23:27",6.294,289.44,,1
"=""#00096""","=""P100254-1""","2017-06-24 00:27:57",6.293,289.97,,1
"=""#00096""","=""P100254-1""","2017-06-24 12:33:16",6.294,289.75,,1
"=""#00096""","=""P100254-1""","2017-06-25 00:37:01",6.294,290.6,,1
"=""#00096""","=""P100254-1""","2017-06-25 12:40:51",6.297,289.75,,1
"=""#00096""","=""P100254-1""","2017-06-26 00:44:13",6.297,290.38,,1
"=""#00096""","=""P100254-1""","2017-06-26 12:49:22",6.294,290.03,,1
"=""#00096""","=""P100254-1""","2017-06-27 00:53:30",6.295,287.19,,1
"=""#00096""","=""P100254-1""","2017-06-27 12:57:37",6.295,286.88,,1
"=""#00096""","=""P100254-1""","2017-06-28 01:01:09",6.293,288.07,,1
"=""#00096""","=""P100254-1""","2017-06-28 13:06:05",6.297,287.88,,1
"=""#00096""","=""P100254-1""","2017-06-29 01:09:25",6.291,287.75,,1
"=""#00096""","=""P100254-1""","2017-06-29 13:12:36",6.293,287.88,,1
"=""#00096""","=""P100254-1""","2017-06-30 01:16:08",6.294,288.07,,1
"=""#00096""","=""P100254-1""","2017-06-30 13:19:42",6.293,288.13,,1
"=""#00096""","=""P100254-1""","2017-07-01 01:23:13",6.293,289.69,,1
"=""#00096""","=""P100254-1""","2017-07-01 13:28:05",6.292,290,,1
"=""#00096""","=""P100254-1""","2017-07-02 01:32:15",6.289,289.91,,1
"=""#00096""","=""P100254-1""","2017-07-02 13:35:42",6.291,284.81,,1
"=""#00096""","=""P100254-1""","2017-07-03 01:39:01",6.287,281.19,,1
"=""#00096""","=""P100254-1""","2017-07-03 13:44:02",6.287,281.9,,1
"=""#00096""","=""P100254-1""","2017-07-04 01:47:43",6.285,280.68,,1
"=""#00096""","=""P100254-1""","2017-07-04 13:51:19",6.288,281.84,,1
"=""#00096""","=""P100254-1""","2017-07-05 01:55:20",6.289,280.81,,1
"=""#00096""","=""P100254-1""","2017-07-05 13:59:11",6.286,279.97,,1
"=""#00096""","=""P100254-1""","2017-07-06 02:03:04",6.289,282.6,,1
"=""#00096""","=""P100254-1""","2017-07-06 14:08:13",6.288,281.9,,1
"=""#00096""","=""P100254-1""","2017-07-07 02:12:25",6.29,284,,1
"=""#00096""","=""P100254-1""","2017-07-07 14:17:40",6.287,283.78,,1
"=""#00096""","=""P100254-1""","2017-07-08 02:21:37",6.289,284.25,,1
"=""#00096""","=""P100254-1""","2017-07-08 14:26:19",6.29,284.31,,1
"=""#00096""","=""P100254-1""","2017-07-09 02:30:57",6.29,285.25,,1
"=""#00096""","=""P100254-1""","2017-07-09 14:36:55",6.288,284.35,,1
"=""#00096""","=""P100254-1""","2017-07-10 02:40:40",6.284,284.63,5,1
"=""#00096""","=""P100254-1""","2017-07-10 14:45:10",6.287,284.41,5,1
"=""#00096""","=""P100254-1""","2017-07-11 02:49:51",6.285,283.57,5,1
"=""#00096""","=""P100254-1""","2017-07-11 14:57:36",6.287,283.38,5,1
"=""#00096""","=""P100254-1""","2017-07-12 03:04:09",6.292,283.35,5,1
"=""#00096""","=""P100254-1""","2017-07-12 15:08:51",6.286,284.35,5,1
"=""#00096""","=""P100254-1""","2017-07-13 03:13:32",6.285,283.88,5,1
"=""#00096""","=""P100254-1""","2017-07-13 15:17:31",6.291,283.06,5,1
"=""#00096""","=""P100254-1""","2017-07-14 03:21:32",6.286,283.6,4,1
"=""#00096""","=""P100254-1""","2017-07-14 15:26:44",6.285,286.82,4,1
"=""#00096""","=""P100254-1""","2017-07-15 03:32:24",6.289,288.19,4,1
"=""#00096""","=""P100254-1""","2017-07-15 15:37:10",6.29,289.19,4,1
"=""#00096""","=""P100254-1""","2017-07-16 03:41:43",6.288,289.07,4,1
"=""#00096""","=""P100254-1""","2017-07-16 15:45:49",6.289,290.13,4,1
"=""#00096""","=""P100254-1""","2017-07-17 03:50:17",6.291,289.63,4,1
"=""#00096""","=""P100254-1""","2017-07-17 15:54:55",6.289,290.94,4,1
"=""#00096""","=""P100254-1""","2017-07-18 03:59:23",6.289,291.44,4,1
"=""#00096""","=""P100254-1""","2017-07-18 16:03:28",6.29,288.83,4,1
"=""#00096""","=""P100254-1""","2017-07-19 04:07:02",6.291,290.22,4,1
"=""#00096""","=""P100254-1""","2017-07-19 16:12:07",6.286,288.66,4,1
"=""#00096""","=""P100254-1""","2017-07-20 04:16:43",6.287,287.89,4,1
"=""#00096""","=""P100254-1""","2017-07-20 16:21:59",6.286,287.29,4,1
"=""#00096""","=""P100254-1""","2017-07-21 04:25:32",6.287,292.95,4,1
"=""#00096""","=""P100254-1""","2017-07-21 16:29:36",6.289,292.07,4,1
"=""#00096""","=""P100254-1""","2017-07-22 04:34:05",6.286,291.76,4,1
"=""#00096""","=""P100254-1""","2017-07-22 16:38:28",6.289,290.91,4,1
"=""#00096""","=""P100254-1""","2017-07-23 04:43:01",6.286,289.94,4,1
"=""#00096""","=""P100254-1""","2017-07-23 16:49:17",6.284,290.03,4,1
"=""#00096""","=""P100254-1""","2017-07-24 04:56:59",6.287,288.19,4,1
"=""#00096""","=""P100254-1""","2017-07-24 17:04:48",6.285,286.31,4,1
"=""#00096""","=""P100254-1""","2017-07-25 05:10:35",6.284,285.03,4,1
"=""#00096""","=""P100254-1""","2017-07-25 17:14:20",6.285,285.54,4,1
"=""#00096""","=""P100254-1""","2017-07-26 05:18:43",6.287,283.97,4,1
"=""#00096""","=""P100254-1""","2017-07-26 17:24:50",6.285,283.12,4,1
"=""#00096""","=""P100254-1""","2017-07-27 05:29:37",6.284,283.94,4,1
"=""#00096""","=""P100254-1""","2017-07-27 17:34:10",6.285,281.47,4,1
"=""#00096""","=""P100254-1""","2017-07-28 05:38:51",6.286,284.22,4,1
"=""#00096""","=""P100254-1""","2017-07-28 17:43:24",6.285,284.06,4,1
"=""#00096""","=""P100254-1""","2017-07-29 05:47:35",6.286,284.91,4,1
"=""#00096""","=""P100254-1""","2017-07-29 17:52:57",6.288,286.25,4,1
"=""#00096""","=""P100254-1""","2017-07-30 05:57:31",6.286,286.47,4,1
"=""#00096""","=""P100254-1""","2017-07-30 18:01:53",6.285,285.57,4,1
"=""#00096""","=""P100254-1""","2017-07-31 06:05:58",6.286,286.19,4,1
"=""#00096""","=""P100254-1""","2017-07-31 18:11:48",6.289,285.25,4,1
"=""#00096""","=""P100254-1""","2017-08-01 06:15:43",6.286,285.54,4,1
"=""#00096""","=""P100254-1""","2017-08-01 18:19:59",6.287,285.54,4,1
"=""#00096""","=""P100254-1""","2017-08-02 06:24:59",6.284,285.82,4,1
"=""#00096""","=""P100254-1""","2017-08-02 18:29:28",6.282,287.16,4,1
"=""#00096""","=""P100254-1""","2017-08-03 06:34:32",6.285,287.41,4,1
"=""#00096""","=""P100254-1""","2017-08-03 18:39:41",6.29,293.32,4,1
"=""#00096""","=""P100254-1""","2017-08-04 06:46:37",6.288,294.88,4,1
"=""#00096""","=""P100254-1""","2017-08-04 18:53:55",6.29,296.78,4,1
"=""#00096""","=""P100254-1""","2017-08-05 06:59:11",6.287,295.19,4,1
"=""#00096""","=""P100254-1""","2017-08-05 19:03:35",6.288,292.41,4,1
"=""#00096""","=""P100254-1""","2017-08-06 07:07:55",6.288,295.5,4,1
"=""#00096""","=""P100254-1""","2017-08-06 19:12:33",6.288,298.63,4,1
"=""#00096""","=""P100254-1""","2017-08-07 07:16:34",6.288,299.88,4,1
"=""#00096""","=""P100254-1""","2017-08-07 19:22:11",6.284,293.97,4,1
"=""#00096""","=""P100254-1""","2017-08-08 07:28:04",6.287,291.1,4,1
"=""#00096""","=""P100254-1""","2017-08-08 19:31:36",6.284,289.94,4,1
"=""#00096""","=""P100254-1""","2017-08-09 07:34:54",6.288,284.28,6,1
"=""#00096""","=""P100254-1""","2017-08-09 19:38:57",6.28,290.28,6,1
"=""#00096""","=""P100254-1""","2017-08-10 07:43:10",6.285,290.06,6,1
"=""#00096""","=""P100254-1""","2017-08-10 19:47:58",6.287,289,6,1
"=""#00096""","=""P100254-1""","2017-08-11 07:51:56",6.284,288.53,6,1
"=""#00096""","=""P100254-1""","2017-08-11 19:56:09",6.286,288.63,6,1
"=""#00096""","=""P100254-1""","2017-08-12 08:00:47",6.282,290.38,9,1
"=""#00096""","=""P100254-1""","2017-08-12 20:05:23",6.28,290.6,9,1
"=""#00096""","=""P100254-1""","2017-08-13 08:09:46",6.285,289.78,9,1
"=""#00096""","=""P100254-1""","2017-08-13 20:13:49",6.283,293.44,9,1
"=""#00096""","=""P100254-1""","2017-08-14 08:17:59",6.285,294.69,9,1
"=""#00096""","=""P100254-1""","2017-08-14 20:23:03",6.285,292.85,9,1
"=""#00096""","=""P100254-1""","2017-08-15 08:30:18",6.284,292.91,9,1
"=""#00096""","=""P100254-1""","2017-08-15 20:37:02",6.287,289.03,9,1
"=""#00096""","=""P100254-1""","2017-08-16 08:40:59",6.282,287.81,9,1
"=""#00096""","=""P100254-1""","2017-08-16 20:45:58",6.282,289.35,9,1
"=""#00096""","=""P100254-1""","2017-08-17 08:51:02",6.286,290.54,9,1
"=""#00096""","=""P100254-1""","2017-08-17 20:55:22",6.284,290.82,9,1
"=""#00096""","=""P100254-1""","2017-08-18 08:59:48",6.285,290.97,9,1
"=""#00096""","=""P100254-1""","2017-08-18 21:04:19",6.284,290.51,9,1
"=""#00096""","=""P100254-1""","2017-08-19 09:08:36",6.281,290.97,9,1
"=""#00096""","=""P100254-1""","2017-08-19 21:13:05",6.283,291.22,9,1
"=""#00096""","=""P100254-1""","2017-08-20 09:18:31",6.282,290.97,9,1
"=""#00096""","=""P100254-1""","2017-08-20 21:22:22",6.283,290.88,9,1
"=""#00096""","=""P100254-1""","2017-08-21 09:26:12",6.282,290.28,9,1
"=""#00096""","=""P100254-1""","2017-08-21 21:30:27",6.286,290.19,9,1
"=""#00096""","=""P100254-1""","2017-08-22 09:35:36",6.281,290.63,9,1
"=""#00096""","=""P100254-1""","2017-08-22 21:40:17",6.285,290.6,9,1
"=""#00096""","=""P100254-1""","2017-08-23 09:45:24",6.284,289.13,9,1
"=""#00096""","=""P100254-1""","2017-08-23 21:50:35",6.282,288.01,9,1
"=""#00096""","=""P100254-1""","2017-08-24 09:55:38",6.282,285.63,9,1
"=""#00096""","=""P100254-1""","2017-08-24 21:59:49",6.285,283.38,9,1
"=""#00096""","=""P100254-1""","2017-08-25 10:04:43",6.28,284.12,9,1
"=""#00096""","=""P100254-1""","2017-08-25 22:09:09",6.281,285.13,9,1
"=""#00096""","=""P100254-1""","2017-08-26 10:13:40",6.285,285.66,9,1
"=""#00096""","=""P100254-1""","2017-08-26 22:18:36",6.284,285.25,9,1
"=""#00096""","=""P100254-1""","2017-08-27 10:22:36",6.282,284.57,9,1
"=""#00096""","=""P100254-1""","2017-08-27 22:27:58",6.284,286.61,9,1
"=""#00096""","=""P100254-1""","2017-08-28 10:31:58",6.284,288.72,9,1
"=""#00096""","=""P100254-1""","2017-08-28 22:36:29",6.285,288.35,9,1
"=""#00096""","=""P100254-1""","2017-08-29 10:44:11",6.282,288.35,9,1
"=""#00096""","=""P100254-1""","2017-08-29 22:50:32",6.286,287.41,9,1
"=""#00096""","=""P100254-1""","2017-08-30 10:56:23",6.284,287.19,9,1
"=""#00096""","=""P100254-1""","2017-08-30 23:00:50",6.285,285.31,9,1
"=""#00096""","=""P100254-1""","2017-08-31 11:06:50",6.282,286.28,9,1
"=""#00096""","=""P100254-1""","2017-08-31 23:14:02",6.284,285.28,9,1
"=""#00096""","=""P100254-1""","2017-09-01 11:19:55",6.286,290.09,9,1
"=""#00096""","=""P100254-1""","2017-09-01 23:25:35",6.287,289.94,9,1
"=""#00096""","=""P100254-1""","2017-09-02 11:30:36",6.284,290.06,9,1
"=""#00096""","=""P100254-1""","2017-09-02 23:35:26",6.287,290.38,9,1
"=""#00096""","=""P100254-1""","2017-09-03 11:40:54",6.284,286.97,9,1
"=""#00096""","=""P100254-1""","2017-09-03 23:46:54",6.284,285.63,9,1
"=""#00096""","=""P100254-1""","2017-09-04 11:52:24",6.282,285.66,9,1
"=""#00096""","=""P100254-1""","2017-09-04 23:57:36",6.285,284.03,9,1
"=""#00096""","=""P100254-1""","2017-09-05 12:03:06",6.283,283.5,9,1
"=""#00096""","=""P100254-1""","2017-09-06 00:13:19",6.284,283.81,9,1
"=""#00096""","=""P100254-1""","2017-09-06 12:30:58",6.283,285.12,9,1
"=""#00096""","=""P100254-1""","2017-09-07 00:35:57",6.282,288.13,9,1
"=""#00096""","=""P100254-1""","2017-09-07 12:41:02",6.283,290.38,9,1
"=""#00096""","=""P100254-1""","2017-09-08 00:46:16",6.285,290,9,1
"=""#00096""","=""P100254-1""","2017-09-08 12:50:39",6.286,288.56,9,1
"=""#00096""","=""P100254-1""","2017-09-09 00:55:09",6.285,289.07,9,1
"=""#00096""","=""P100254-1""","2017-09-09 13:00:06",6.284,286.66,9,1
"=""#00096""","=""P100254-1""","2017-09-10 01:05:13",6.288,285.63,9,1
"=""#00096""","=""P100254-1""","2017-09-10 13:09:45",6.285,285.44,9,1
"=""#00096""","=""P100254-1""","2017-09-11 01:14:47",6.282,285.03,9,1
"=""#00096""","=""P100254-1""","2017-09-11 13:19:05",6.285,284.5,9,1
"=""#00096""","=""P100254-1""","2017-09-12 01:24:52",6.283,286.5,9,1
"=""#00096""","=""P100254-1""","2017-09-12 13:30:45",6.283,286.66,9,1
"=""#00096""","=""P100254-1""","2017-09-13 01:36:00",6.284,286.28,9,1
"=""#00096""","=""P100254-1""","2017-09-13 13:40:56",6.283,285.59,9,1
"=""#00096""","=""P100254-1""","2017-09-14 01:45:24",6.285,284.87,9,1
"=""#00096""","=""P100254-1""","2017-09-14 13:49:48",6.284,283.97,9,1
"=""#00096""","=""P100254-1""","2017-09-15 01:54:15",6.284,286.1,9,1
"=""#00096""","=""P100254-1""","2017-09-15 13:58:26",6.284,285.69,9,1
"=""#00096""","=""P100254-1""","2017-09-16 02:03:17",6.285,285.98,9,1
"=""#00096""","=""P100254-1""","2017-09-16 14:07:39",6.281,285,9,1
"=""#00096""","=""P100254-1""","2017-09-17 02:12:14",6.287,284.28,9,1
"=""#00096""","=""P100254-1""","2017-09-17 14:16:36",6.28,283.66,9,1
"=""#00096""","=""P100254-1""","2017-09-18 02:20:41",6.282,283.32,9,1
"=""#00096""","=""P100254-1""","2017-09-18 14:24:57",6.283,280.65,9,1
"=""#00096""","=""P100254-1""","2017-09-19 02:28:54",6.283,281.97,9,1
"=""#00096""","=""P100254-1""","2017-09-19 14:33:58",6.282,287.38,9,1
"=""#00096""","=""P100254-1""","2017-09-20 02:38:01",6.284,289.94,9,1
"=""#00096""","=""P100254-1""","2017-09-20 14:42:47",6.285,288.69,9,1
"=""#00096""","=""P100254-1""","2017-09-21 02:47:36",6.283,289.07,9,1
"=""#00096""","=""P100254-1""","2017-09-21 14:52:34",6.281,288.31,9,1
"=""#00096""","=""P100254-1""","2017-09-22 02:56:59",6.285,289.57,9,1
"=""#00096""","=""P100254-1""","2017-09-22 15:01:36",6.281,288.78,9,1
"=""#00096""","=""P100254-1""","2017-09-23 03:06:22",6.28,290.51,9,1
"=""#00096""","=""P100254-1""","2017-09-23 15:12:47",6.284,290.85,11,1
"=""#00096""","=""P100254-1""","2017-09-24 03:16:45",6.288,290.93,11,1
"=""#00096""","=""P100254-1""","2017-09-24 15:22:33",6.284,290.54,11,1
"=""#00096""","=""P100254-1""","2017-09-25 03:27:30",6.284,290.85,11,1
"=""#00096""","=""P100254-1""","2017-09-25 15:32:43",6.283,291.5,11,1
"=""#00096""","=""P100254-1""","2017-09-26 03:38:23",6.284,292.69,11,1
"=""#00096""","=""P100254-1""","2017-09-26 15:42:23",6.283,291.22,11,1
"=""#00096""","=""P100254-1""","2017-09-27 03:46:21",6.284,291.5,11,1
"=""#00096""","=""P100254-1""","2017-09-27 15:51:12",6.282,290.75,11,1
"=""#00096""","=""P100254-1""","2017-09-28 03:56:26",6.284,290.88,11,1
"=""#00096""","=""P100254-1""","2017-09-28 16:00:57",6.283,288.47,11,1
"=""#00096""","=""P100254-1""","2017-09-29 04:07:13",6.281,289.76,11,1
"=""#00096""","=""P100254-1""","2017-09-29 16:24:57",6.28,291.25,11,1
"=""#00096""","=""P100254-1""","2017-09-30 04:30:08",6.281,291.36,11,1
